,,,,
Northwest Youth Corps,Northwest Youth Corps NW Community Forestry Project,:,"$12,000,000",
Oregon Department of Forestry,"Growing Equity in Oregon's Urban and Community Forests: Investing in Disadvantaged Communities to Promote Social, Economic, and Environmental Well-Being:","$22,857,196",,
,,,,
"Ebiil Society, Inc.",Island community access to green spaces and environmental education opportunities for biodiversity sustainability,:,"$740,000",
,,,,
Borough of Mechanicsburg*,Trees for All:,"$500,000",,
Borough of State College*,Borough of State College Urban Forestry Sustainability Plan:,"$369,355",,
City of Allentown*,City of Allentown Urban Forestry:,"$920,800",,
City of Connellsville*,Connellsville Community Tree Program:,"$500,000",,
City of Easton*,Easton Urban Forest Equity Project:,"$1,000,000",,
City of Harrisburg*,Harrisburg City Riverside:,"$1,000,000",,
City of Harrisburg,Harrisburg City TreeVestment:,"$1,000,000",,
City of Johnstown*,Johnstown Urban Orchards project:,"$659,300",,
City of Lancaster*,"Proactive Systemic Maintenance: Pruning, Planting and Removal:","$1,000,000",,
City of Pittsburgh,Pittsburgh Vacant Lots Tree Planting:,"$1,000,000",,
Friends of the Pittsburgh Urban Forest (DBA Tree Pittsburgh),Pittsburgh Canopy Alliance:,"$8,000,000",,
Public Health Management Corporation,Philly Tree Plan Implementation: Growing an Equitable Forest:,"$12,000,000",,
,,,,
"Caribbean Regenerative Community Development, Inc.","Urban Trees for Resilience, Equity, & Empowerment in Puerto Rico (U-TREE-PR)",:,"$7,000,000",
University of Puerto Rico at Rio Piedras,Rooted in the Ri­o Piedras Network: A Justice-Centered Approach to Green Infrastructure Planning to Enhance Community Resilience in the City of San Juan (Puerto Rico),:,"$1,000,000",
,,,,
City of East Providence,"East Providence Tree Equity, Workforce, and Education Program (TEWEP)",:,"$750,000",
"Executive Office of Health and Human Services, State of Rhode Island",Enhancing Urban and Community Forest in Rhode Island's Health Equity Zones:,"$3,000,000",,
The Pawtucket Foundation,Tree Greening of Pawtucket:,"$3,000,000",,
,,,,
City of Columbia*,Free Trees for the Community:,"$290,015",,
City of North Augusta*,NA Urban Tree Canopy Expansion Project Along Right of Ways:,"$459,301",,
City of Rock Hill*,Urban Forest Initiative for Rock Hill's Disadvantaged Areas:,"$1,000,000",,
South Carolina State University 1890 Research & Extension*,Expansion of Urban Forestry and Green Infrastructure in South Carolina:,"$5,000,000",,
,,,,
City of Sioux Falls,Sioux Falls Communi-Tree Assistance Program:,"$3,000,000",,
,,,,
"City of Chattanooga, Tennessee Department of Parks and Outdoors",Take Root Chattanooga:,"$6,000,000",,
City of Knoxville,"Growing Urban Tree Canopy in Knoxville, Tennessee:","$1,723,731",,
Tennessee Environmental Council,Tennessee Tree Day:,"$1,004,804",,
Tennessee State University*,"Restoration of an Urban, Forested Wetland at Tennessee State University to Improve Educational Opportunities and Ecosystem Services:","$5,000,000",,
University of Tennessee,"Gravel Tree Stormwater Systems: Bringing Ecosystem Services, Education, and Workforce Development to East Knoxville:","$2,586,006",,
,,,,
City of Arlington Parks and Recreation Department*,City of Arlington- Chinese Privet removal:,"$150,000",,
City of Garland*,Tree Garland:,"$1,000,000",,
City of Pflugerville*,Windermere South Replanting Project:,"$150,000",,
City of San Marcos*,"City of San Marcos, Texas  - Urban and Community Forestry Strategic Management Plan:","$299,722",,
Houston Advanced Research Center,ForUsTree: Creating an Inclusive Community Canopy within Houston and Harris County:,"$15,000,000",,
Texas Trees Foundation,South Dallas Neighborhood Greening Initiative,:,"$15,000,000",
,,,,
St. George Village Botanical Garden,"Strength of Our R.O.O.T.S.: The Community's Reclamation Of Our Trees & Soil in the St. George Village Botanical Garden, St. Croix, U.S. Virgin Islands",:,"$2,500,000",
"Virgin Islands Trail Alliance, Inc.",Healing Forests to Heal the Underserved for Life:,"$2,500,000",,
,,,,
City of Logan*,Logan City Forestry Tree Purchase & Education Plan:,"$300,000",,
City of Moab*,Moab City Urban Forestry Management Plan and Stewardship:,"$502,040",,
Utah State University,Seeding a tree culture in Utah - Resources for disadvantaged communities:,"$3,000,000",,
,,,,
City of Rutland,Rutland City Urban Tree Canopy Enhancement in Disadvantaged Areas:,"$1,000,000",,
City of Winooski*,Winooski Main Street Tree Plantings:,"$1,000,000",,
Newport City Renaissance Corporation (dba Newport CIty Downtown Development)*,Tree Enhancement Of Newport VT City Streets and Parks:,"$363,190",,
,,,,
City of Charlottesville*,Charlottesville Urban Forest Management Planning: An Adaptive Approach,:,"$150,000",
City of Fairfax*,"Stewarding, Planting, Restoring Our Urban Trees (SPROUT) in Fairfax City:","$1,000,000",,
City of Norfolk,Norfolk Blue-Greenway Project:,"$4,000,000",,
City of Norfolk Parks & Forestry Operation,Norfolk Urban Forestry Capacity Building: Increasing Canopy Resilience and Equity in Underserved Communities:,"$1,000,000",,
City of Richmond,"Black and Brown-Led, Coalition-Based Urban Greening in Richmond, VA:","$6,000,000",,
City of Winchester*,City of Winchester Greening and Urban Tree Maintenance Project:,"$550,000",,
"Norfolk State University, Norfolk",Hampton Roads Blue Green Oasis:,"$5,000,000",,
,,,,
City of College Place*,City of College Place: Urban Forestry Enhancement Project:,"$730,413",,
City of Lynnwood,South Lynnwood Urban Forestry and Stewardship Program:,"$1,308,198",,
City of Oak Harbor,Oak Harbor WA Urban & Community Forestry Program Development:,"$1,680,140",,
City of Port Townsend*,Climate & Economic Justice Grant - Castle Hill Neighborhood Tree Canopy:,"$230,507",,
City of Port Townsend*,Urban & Community Forestry Future:,"$240,517",,
City of Seattle*,Delridge Native Forest Garden:,"$900,000",,
City of Seattle - Office of Sustainability & Environment,Growing Seattle: Community-driven urban forestry and job training:,"$12,000,000",,
City of Shoreline*,Enhancing Urban Forestry Efforts in the City of Shoreline:,"$1,000,000",,
City of Spokane,Tree Equity Spokane:,"$6,000,000",,
City of Tumwater*,City of Tumwater Urban Forestry Capacity and Equity Project:,"$334,588",,
City of Vancouver*,Vancouver Urban Forestry Project:,"$300,000",,
Snohomish Conservation District,Growing Urban Forest in Snohomish County:,"$2,480,761",,
Snoqualmie Indian Tribe,Snoqualmie Tribe Ancestral Lands Culturally Modified Tree Protection Program:,"$1,374,299",,
Spokane Conservation District,Spokane County Natural Resource Apprenticeship Program:,"$6,000,000",,
Washington State University,Empowering community college students to equitably enhance urban forests:,"$1,786,431",,
,,,,
WVU Extension,WV Ecosystem Career Engagement and Training:,"$1,500,000",,
,,,,
City of Milwaukee,Growing Milwaukee's Tree Canopy and Community Resilience:,"$12,000,000",,
Dane County,Equitable Forestry Stabilization Management and Forestry Career Pathways Program:,"$1,500,000",,
,,,,
"City of Casper Parks, Recreation, and Public Facilities Department*",Branch Across Casper:,"$699,900",,
The City of Rock Springs*,City of Rock Springs Community Forest Initiative:,"$100,000",,
,,,,
1890 Universities Foundation,Rising From Roots: Addressing Historical Health Disparities and Environment Justice through Urban Forestry at 1890 Land-Grant Universities:,"$7,000,000","$28,000,000",
American Forests,American Forests Catalyst Fund: Fostering Community-Led Action to Advance Tree Equity:,"$10,000,000","$40,000,000",
Arbor Day Foundation,Arbor Day Foundation IRA Regranting Program:,"$10,000,000","$40,000,000",
Green Latinos,Grassroots Grantmaking for Tree Canopy Restoration across Latino Communities,:,"$5,000,000","$20,000,000"
Groundwork USA,Building Grassroots Capacity To Accelerate Climate Adaptation Through Urban Forestry:,"$2,000,000","$8,000,000",
Hispanic Access Foundation,Nuestros Bosques (Our Forests) IRA Initiative:,"$5,000,000","$20,000,000",
River Network,Building Resilience in Frontline Communities:,"$2,400,000","$9,600,000",
Sustainable Forestry Initiative,SFI Urban and Community Forest Improvement Program:,"$1,000,000","$4,000,000",
The Corps Network,Urban and Community Forestry Corps (UCFC) Initiative:,"$2,000,000","$8,000,000",
"The Student Conservation Association, Inc.",Urban Green Projects:,"$2,000,000","$8,000,000",
Trust for Public Land,Growing Resilience Through Forested Community Schoolyards,:,"$2,000,000","$8,000,000"
Urban Sustainability Directotors Network,Accelerating Urban Forestry as Equity-Centered Climate Action and Sustainable Community Development:,"$5,600,000","$22,400,000",
